source,locality,city,bhk,price,price_unit,deposit,area_sqft,floor,total_floors,furnishing,url,scraped_locality,lat,lng,location_exact
squareyards,Malad West,Mumbai,2,70000,per_month,,900,,,semi-furnished,https://www.squareyards.com/rental-2-bhk-900-sq-ft-apartment-in-asmita-sand-dunes/10515633,Malad West,19.177239,72.841579,True
squareyards,Pali Hill,Mumbai,4,600000,per_month,,1800,,,semi-furnished,https://www.squareyards.com/rental-4-bhk-servant-room-extra-room-1800-sq-ft-apartment-in-rustomjee-parishram/9878899,Pali Hill,19.067719,72.827637,True
squareyards,Bandra West,Mumbai,2,150000,per_month,,650,6,10,semi-furnished,https://www.squareyards.com/rental-2-bhk-650-sq-ft-apartment-in-bandra-west/9877290,Bandra West,19.05955960049545,72.82952886074781,True
squareyards,Ghatkopar East,Mumbai,2,50000,per_month,,700,,,furnished,https://www.squareyards.com/rental-2-bhk-700-sq-ft-apartment-in-everest-gardens-chs/10364067,Ghatkopar East,19.0907441339125,72.9152309957184,True
squareyards,Andheri West,Mumbai,2,80000,per_month,,815,5,,semi-furnished,https://www.squareyards.com/rental-2-bhk-815-sq-ft-apartment-in-sagar-kanya/10364055,Andheri West,19.1280405,72.8163742,True
squareyards,Sewri,Mumbai,,9500,per_month,,856,,,furnished,https://www.squareyards.com/rental-856-sq-ft-pg-in-sewri/10484553,Sewri,18.989329,72.853027,True
squareyards,Marol,Mumbai,2,60000,per_month,,750,,,semi-furnished,https://www.squareyards.com/rental-2-bhk-750-sq-ft-apartment-in-navkar-panchavati-greens/10521010,Marol,19.122675,72.879283,True
squareyards,Sandesh Nagar,Mumbai,3,250000,per_month,,1750,,,semi-furnished,https://www.squareyards.com/rental-3-bhk-pooja-room-servant-room-study-room-extra-room-basement-store-room-1750-sq-ft-apartment-in-sandesh-nagar/10363829,Sandesh Nagar,19.0865579894721,72.8810664643325,True
squareyards,Bandra East,Mumbai,3,310000,per_month,,1389,3,,furnished,https://www.squareyards.com/rental-3-bhk-extra-room-1389-sq-ft-apartment-in-adani-ten-bkc/9775135,Bandra East,19.056192,72.848892,True
squareyards,Andheri West,Mumbai,,300000,per_month,,1450,,,furnished,https://www.squareyards.com/rental-1450-sq-ft-office-space-in-citi-mall/10335844,Andheri West,,,False
squareyards,Vikhroli East,Mumbai,2,45045,per_month,,573,12,23,unfurnished,https://www.squareyards.com/rental-2-bhk-pooja-room-573-sq-ft-apartment-in-vaibhavlaxmi-templum-heights/10008535,Vikhroli East,19.119498,72.937862,True
squareyards,Goregaon East,Mumbai,2,480000,per_month,,555,7,,unfurnished,https://www.squareyards.com/rental-2-bhk-extra-room-555-sq-ft-apartment-in-shravasti-coop-society/10533860,Goregaon East,19.13058,72.856529,True
squareyards,Kandivali East,Mumbai,3,88000,per_month,,1622,22,,semi-furnished,https://www.squareyards.com/rental-3-bhk-pooja-room-1622-sq-ft-apartment-in-kalpataru-vienta/10485637,Kandivali East,19.198204,72.855462,True
squareyards,Antop Hill,Mumbai,2,65000,per_month,,900,2,,furnished,https://www.squareyards.com/rental-2-bhk-extra-room-store-room-900-sq-ft-apartment-in-unity-wadala-chs/10530982,Antop Hill,19.02339,72.86888,True
squareyards,Wadala East,Mumbai,2,90000,per_month,,800,1,,furnished,https://www.squareyards.com/rental-2-bhk-800-sq-ft-apartment-in-dosti-acres-aster/10444868,Wadala East,19.02311,72.865931,True
squareyards,Andheri West,Mumbai,4,400000,per_month,,2350,23,,unfurnished,https://www.squareyards.com/rental-4-bhk-store-room-2350-sq-ft-apartment-in-windsor-grande-residences/10530589,Andheri West,19.151569,72.833298,True
squareyards,Chandivali,Mumbai,5,130000,per_month,,850,6,,furnished,https://www.squareyards.com/rental-2-5-bhk-pooja-room-850-sq-ft-apartment-in-nahar-amrit-shakti-frangipani/10464669,Chandivali,19.107837,72.89823,True
squareyards,Cuffe Parade,Mumbai,5,275000,per_month,,1240,12,,furnished,https://www.squareyards.com/rental-2-5-bhk-pooja-room-servant-room-study-room-1240-sq-ft-apartment-in-palm-springs-cuffe-parade/10428931,Cuffe Parade,18.91529,72.821723,True
squareyards,Lower Parel,Mumbai,2,150000,per_month,,720,15,,semi-furnished,https://www.squareyards.com/rental-2-bhk-extra-room-720-sq-ft-apartment-in-lower-parel/10484232,Lower Parel,18.9982461,72.82696460000001,True
squareyards,Bandra East,Mumbai,4,400000,per_month,,1536,,,semi-furnished,https://www.squareyards.com/rental-4-bhk-1536-sq-ft-apartment-in-adani-ten-bkc/10275687,Bandra East,19.056192,72.848892,True
squareyards,Mulund East,Mumbai,2,100000,per_month,,1350,25,,furnished,https://www.squareyards.com/rental-2-bhk-1350-sq-ft-apartment-in-gagangiri-elanza-chs/10427578,Mulund East,19.162276,72.955732,True
squareyards,Powai,Mumbai,2,36000,per_month,,657,2,,unfurnished,https://www.squareyards.com/rental-2-bhk-prayer-room-657-sq-ft-apartment-in-hiranandani-brentwood-mumbai/10546774,Powai,19.118717,72.9102,True
squareyards,Sandesh Nagar,Mumbai,,30000,per_month,,470,,,semi-furnished,https://www.squareyards.com/rental-470-sq-ft-office-space-in-sandesh-nagar/10468917,Sandesh Nagar,,,False
squareyards,Malad West,Mumbai,1,40000,per_month,,600,12,18,unfurnished,https://www.squareyards.com/rental-1-bhk-600-sq-ft-apartment-in-shree-vallabh-apartment-malad/10439565,Malad West,19.177983,72.84021,True
squareyards,Borivali West,Mumbai,1,29000,per_month,,420,2,,semi-furnished,https://www.squareyards.com/rental-1-bhk-prayer-room-420-sq-ft-apartment-in-sea-grace-apartment/10530418,Borivali West,19.2442,72.845605,True
squareyards,Goregaon East,Mumbai,,75000,per_month,,400,,,furnished,https://www.squareyards.com/rental-400-sq-ft-office-space-in-atlanta-estate/10540389,Goregaon East,,,False
squareyards,Kandivali West,Mumbai,3,85000,per_month,,1150,15,,unfurnished,https://www.squareyards.com/rental-3-bhk-1150-sq-ft-apartment-in-tanna-heights/10545759,Kandivali West,19.20186,72.84756,True
squareyards,Matunga,Mumbai,,35000,per_month,,300,,,semi-furnished,https://www.squareyards.com/rental-300-sq-ft-office-space-in-shah-building/10539741,Matunga,,,False
squareyards,Malad East,Mumbai,2,75000,per_month,,750,1,,semi-furnished,https://www.squareyards.com/rental-2-bhk-pooja-room-750-sq-ft-apartment-in-a-and-o-f-residences-malad-east/10435058,Malad East,19.190878,72.861307,True
squareyards,Kalbadevi,Mumbai,1,90000,per_month,,850,2,,furnished,https://www.squareyards.com/rental-1-bhk-850-sq-ft-builder-floor-in-kalbadevi/10536172,Kalbadevi,18.947451,72.828589,True
squareyards,Goregaon East,Mumbai,2,75000,per_month,,680,3,12,semi-furnished,https://www.squareyards.com/rental-2-bhk-680-sq-ft-apartment-in-rachaita-aarambh/10436521,Goregaon East,19.1744,72.8623,True
squareyards,Mulund West,Mumbai,2,65000,per_month,,960,36,,unfurnished,https://www.squareyards.com/rental-2-bhk-960-sq-ft-apartment-in-sheth-montana/10534200,Mulund West,19.170312,72.936647,True
squareyards,Borivali East,Mumbai,3,135000,per_month,,1310,,,semi-furnished,https://www.squareyards.com/rental-3-bhk-1310-sq-ft-apartment-in-oberoi-sky-city/10504452,Borivali East,19.222276,72.864019,True
squareyards,Malad West,Mumbai,,700000,per_month,,4500,,,furnished,https://www.squareyards.com/rental-4500-sq-ft-office-space-in-k-rahega-palm-springs/10525646,Malad West,,,False
squareyards,Sion,Mumbai,1,55000,per_month,,450,14,24,furnished,https://www.squareyards.com/rental-1-bhk-450-sq-ft-apartment-in-adityaraj-pride/10500721,Sion,19.039554,72.868765,True
squareyards,Goregaon East,Mumbai,1,32000,per_month,,425,6,7,furnished,https://www.squareyards.com/rental-1-bhk-425-sq-ft-apartment-in-acme-apna-ghar/10516866,Goregaon East,19.178495,72.869884,True
squareyards,Wadala East,Mumbai,2,120000,per_month,,766,30,44,furnished,https://www.squareyards.com/rental-2-bhk-servant-room-766-sq-ft-apartment-in-wadala-east/10536044,Wadala East,19.0865579894721,72.8810664643325,True
squareyards,Mulund West,Mumbai,3,100000,per_month,,1050,7,,unfurnished,https://www.squareyards.com/rental-3-bhk-study-room-1050-sq-ft-apartment-in-oberoi-eternia/10523410,Mulund West,19.1725,72.938806,True
squareyards,Mahim,Mumbai,2,35000,per_month,,532,5,,semi-furnished,https://www.squareyards.com/rental-2-bhk-prayer-room-532-sq-ft-apartment-in-kanakia-miami/10538192,Mahim,19.043126,72.840376,True
squareyards,Mahim West,Mumbai,3,230000,per_month,,1300,,,furnished,https://www.squareyards.com/rental-3-bhk-pooja-room-1300-sq-ft-apartment-in-citizen-apartment-mahim/10504097,Mahim West,19.03282,72.838,True
