listing_id,locality,tier,bhk,area_sqft,furnishing,floor,metro_km,lat,lng,actual_rent,predicted_rent,error,pct_error,abs_pct_error,solo_locality,pricing_flag,median_rent,median_rent_per_sqft
573,Wadala East,mid,3,1150,semi-furnished,33.0,2.55,19.0253313474901,72.8677466065711,140000,135879,4121,2.9,2.9,0,In line with model,90000.0,121.7
574,Powai,mid,1,400,semi-furnished,6.0,2.2,19.123388,72.894532,57000,43409,13591,23.8,23.8,0,Listed above model (check overpricing),85000.0,104.0
575,Jogeshwari East,budget,2,670,furnished,7.0,2.08,19.138506,72.859044,82000,60952,21048,25.7,25.7,0,Listed above model (check overpricing),65000.0,100.0
576,Goregaon East,budget,3,989,semi-furnished,2.0,5.29,19.1715144,72.8591173,85000,90986,-5986,-7.0,7.0,0,In line with model,75000.0,98.25
577,Juhu,premium,3,950,furnished,4.0,2.46,19.113507,72.832023,200000,188103,11897,5.9,5.9,0,In line with model,212500.0,190.5
578,Goregaon West,budget,2,810,semi-furnished,11.0,3.86,19.150469,72.84766,80000,70721,9279,11.6,11.6,0,In line with model,76000.0,98.2
579,Chembur,mid,3,1100,semi-furnished,11.0,0.94,19.046411,72.915765,150000,120230,29770,19.8,19.8,0,Listed above model (check overpricing),85000.0,104.2
580,Marol,mid,1,500,semi-furnished,7.0,0.29,19.109135,72.881233,60000,49981,10019,16.7,16.7,0,Listed above model (check overpricing),82000.0,101.7
581,Goregaon East,budget,3,1820,furnished,4.0,5.18,19.171611,72.863705,250000,167170,82830,33.1,33.1,0,Listed above model (check overpricing),75000.0,98.25
582,Malad West,budget,2,800,semi-furnished,5.0,6.43,19.1860398,72.82985772,75000,69796,5204,6.9,6.9,0,In line with model,60000.0,94.1
583,Goregaon East,budget,5,1500,semi-furnished,28.0,5.1,19.1717335632515,72.8701690398811,135000,150519,-15519,-11.5,11.5,0,In line with model,75000.0,98.25
584,Wadala,mid,2,900,semi-furnished,18.0,0.91,19.037684,72.879023,120000,102466,17534,14.6,14.6,0,In line with model,160000.0,131.15
585,Goregaon East,budget,2,960,semi-furnished,21.0,5.53,19.173157,72.856901,75000,83459,-8459,-11.3,11.3,0,In line with model,75000.0,98.25
586,Malad East,budget,3,1050,semi-furnished,9.0,4.98,19.1900696,72.8578936,105000,94385,10615,10.1,10.1,0,In line with model,65000.0,92.5
587,Andheri West,mid,3,1200,furnished,7.0,4.19,19.138769,72.83466,185000,144495,40505,21.9,21.9,0,Listed above model (check overpricing),95000.0,116.75
588,Malad East,budget,3,861,semi-furnished,10.0,5.15,19.1885255,72.8582297,82500,78485,4015,4.9,4.9,0,In line with model,65000.0,92.5
589,Worli,premium,5,1900,unfurnished,47.0,1.09,19.006066,72.829268,500000,440286,59714,11.9,11.9,0,In line with model,290250.0,251.8
590,Ghatkopar West,mid,2,649,semi-furnished,8.0,4.51,19.097797,72.920018,65000,73105,-8105,-12.5,12.5,0,In line with model,119000.0,116.75
591,Chembur,mid,3,1000,semi-furnished,4.0,1.03,19.060951,72.902784,110000,109519,481,0.4,0.4,0,In line with model,85000.0,104.2
592,Goregaon West,budget,3,2050,furnished,15.0,5.41,19.168089,72.847925,160000,194202,-34202,-21.4,21.4,0,Listed below model (possible underpricing),76000.0,98.2
593,Goregaon East,budget,2,750,furnished,25.0,5.33,19.169767,72.852983,84000,69448,14552,17.3,17.3,0,Listed above model (check overpricing),75000.0,98.25
594,Vikhroli East,premium,5,1270,semi-furnished,9.0,4.93,19.092531,72.922302,218000,239279,-21279,-9.8,9.8,0,In line with model,180000.0,166.7
595,Santacruz East,budget,2,1000,furnished,4.0,0.21,19.080291,72.845377,77000,89886,-12886,-16.7,16.7,0,Listed below model (possible underpricing),74000.0,89.65
596,Tanji Nagar,mid,2,650,furnished,22.0,4.35,19.1955101,72.8628801,75000,76264,-1264,-1.7,1.7,1,In line with model,75000.0,115.4
597,Colaba,premium,1,550,furnished,2.0,0.26,18.911584,72.822016,100000,96067,3933,3.9,3.9,0,In line with model,82500.0,174.25
598,Goregaon East,budget,2,905,furnished,23.0,4.75,19.16852,72.878099,65000,86806,-21806,-33.5,33.5,0,Listed below model (possible underpricing),75000.0,98.25
599,Goregaon East,budget,2,905,furnished,12.0,4.73,19.167915,72.881131,60000,85075,-25075,-41.8,41.8,0,Listed below model (possible underpricing),75000.0,98.25
600,Chembur,mid,2,700,unfurnished,4.0,0.47,19.05383,72.905665,72000,76324,-4324,-6.0,6.0,0,In line with model,85000.0,104.2
601,Andheri West,mid,4,2300,furnished,23.0,5.11,19.151569,72.833298,500000,276816,223184,44.6,44.6,0,Listed above model (check overpricing),95000.0,116.75
602,Vikhroli West,budget,1,280,furnished,9.0,3.88,19.107457,72.915492,43000,26969,16031,37.3,37.3,0,Listed above model (check overpricing),65000.0,93.8
603,Dn Nagar,mid,2,650,semi-furnished,5.0,3.09,19.120441,72.8289973,80000,69932,10068,12.6,12.6,1,In line with model,80000.0,123.1
604,Goregaon West,budget,1,322,semi-furnished,11.0,5.84,19.1695831,72.8427351,30000,29439,561,1.9,1.9,0,In line with model,76000.0,98.2
605,Marine Lines,mid,2,1000,furnished,2.0,0.55,18.95173,72.82738,100000,131305,-31305,-31.3,31.3,0,Listed below model (possible underpricing),110000.0,130.0
606,Goregaon East,budget,2,850,semi-furnished,15.0,5.49,19.1724563,72.8560979,80000,74806,5194,6.5,6.5,0,In line with model,75000.0,98.25
607,Goregaon East,budget,1,650,furnished,2.0,5.82,19.177784,72.865787,49000,61171,-12171,-24.8,24.8,0,Listed below model (possible underpricing),75000.0,98.25
608,Kanjurmarg West,budget,2,750,semi-furnished,5.0,6.01,19.136279,72.929861,60000,65579,-5579,-9.3,9.3,0,In line with model,97000.0,90.3
609,Tardeo,premium,5,470,furnished,6.0,1.07,18.97492,72.81248,60000,101622,-41622,-69.4,69.4,0,Listed below model (possible underpricing),90000.0,155.2
610,Vikhroli West,budget,2,629,unfurnished,17.0,4.11,19.105689,72.917573,65000,54552,10448,16.1,16.1,0,Listed above model (check overpricing),65000.0,93.8
611,Andheri West,mid,5,980,semi-furnished,20.0,4.98,19.1420569834118,72.8261217723516,110000,127456,-17456,-15.9,15.9,0,Listed below model (possible underpricing),95000.0,116.75
612,Chembur,mid,2,700,unfurnished,8.0,1.15,19.043898,72.894223,80000,72324,7676,9.6,9.6,0,In line with model,85000.0,104.2
613,Kanjurmarg East,budget,3,1129,semi-furnished,32.0,5.84,19.128493,72.930003,104000,101334,2666,2.6,2.6,0,In line with model,73000.0,92.3
614,Goregaon East,budget,3,1100,furnished,10.0,5.76,19.176344,72.86092,125000,105507,19493,15.6,15.6,0,Listed above model (check overpricing),75000.0,98.25
615,Chembur,mid,4,2145,furnished,5.0,0.58,19.056866,72.902549,220000,241536,-21536,-9.8,9.8,0,In line with model,85000.0,104.2
616,Malad East,budget,4,3330,semi-furnished,29.0,5.2,19.1881172,72.8578903,275000,284523,-9523,-3.5,3.5,0,In line with model,65000.0,92.5
617,Powai,mid,3,1400,furnished,8.0,2.57,19.114684,72.902158,150000,161677,-11677,-7.8,7.8,0,In line with model,85000.0,104.0
618,Kanjurmarg West,budget,2,660,semi-furnished,22.0,6.24,19.136516,72.932046,62000,58493,3507,5.7,5.7,0,In line with model,97000.0,90.3
